,Arsenal,Aston Villa,Bournemouth,Brentford,Brighton and Hove Albion,Burnley,Chelsea,Crystal Palace,Everton,Fulham,Liverpool,Luton Town,Manchester City,Manchester United,Newcastle United,Nottingham Forest,Sheffield United,Tottenham Hotspur,West Ham United,Wolverhampton Wanderers
Arsenal,,184,198,22,128,368,14,21,340,18,336,51,320,317,450,200,253,7,9,217
Aston Villa,184,,269,198,282,188,202,247,158,207,156,137,140,138,330,90,133,191,213,26
Bournemouth,198,269,,159,156,452,150,186,421,166,421,195,403,403,605,309,373,188,235,291
Brentford,22,198,159,,120,388,11,23,354,9,351,56,330,329,470,209,270,29,28,231
Brighton and Hove Albion,128,282,156,120,,468,101,67,436,96,433,157,420,417,473,310,358,134,118,348
Burnley,368,188,452,388,468,,387,430,81,386,85,320,47,56,186,205,106,394,398,171
Chelsea,14,202,150,11,101,387,,14,356,11,333,60,338,335,471,224,262,32,13,236
Crystal Palace,21,247,186,23,67,430,14,,407,11,367,76,391,378,497,218,276,40,20,182
Everton,340,158,421,354,436,81,356,407,,358,2,287,58,57,280,178,119,340,370,145
Fulham,18,207,166,9,96,386,11,11,358,,353,60,336,334,472,207,264,34,22,227
Liverpool,336,156,421,351,433,85,333,367,2,353,,288,50,53,279,175,132,342,365,108
Luton Town,51,137,195,56,157,320,60,76,287,60,288,,307,268,413,158,204,54,82,158
Manchester City,320,140,403,330,420,47,338,391,58,336,50,307,,6,237,160,61,321,349,124
Manchester United,317,138,403,329,417,56,335,378,57,334,53,268,6,,242,127,72,317,347,112
Newcastle United,450,330,605,470,473,186,471,497,280,472,279,413,237,242,,263,210,454,452,328
Nottingham Forest,200,90,309,209,310,205,224,218,178,207,175,158,160,127,263,,65,199,224,98
Sheffield United,253,133,373,270,358,106,262,276,119,264,132,204,61,72,210,65,,256,280,131
Tottenham Hotspur,7,191,188,29,134,394,32,40,340,34,342,54,321,317,454,199,256,,19,216
West Ham United,9,213,235,28,118,398,13,20,370,22,365,82,349,347,452,224,280,19,,244
Wolverhampton Wanderers,217,26,291,231,348,171,236,182,145,227,108,158,124,112,328,98,131,216,244,
